drug,disease
dipyridamole,"Prosthetic Heart Valves - Thrombosis Prophylaxis, Ischemic Stroke, Prophylaxis, Radionuclide Myocardial Perfusion Study"
disopyramide,Arrhythmia
disulfiram,Alcohol Dependence
divalproex sodium,"Bipolar Disorder, Borderline Personality Disorder, Cyclothymic Disorder, Epilepsy, Hyperekplexia, Mania, Migraine Prevention (Migraine Prophylaxis)"
dobutamine,Shock
docetaxel,"Breast Cancer, Metastatic, Prostate Cancer, Gastric Cancer, Head and Neck Cancer, Solid Tumors"
docosanol,Herpes Simplex
docusate,"Constipation, Constipation, Acute"
dofetilide,Arrhythmia
donepezil,"Alzheimer's Disease, Alzheimer's Disease, Lewy Body Dementia, Mild Cognitive Impairment"
dopamine,"Nonobstructive Oliguria, Shock"
doripenem,Intraabdominal Infection
dornase alfa,Cystic Fibrosis
dorzolamide,"Glaucoma, Open Angle, Glaucoma, Open Angle, Intraocular Hypertension, Intraocular Hypertension"
doxapram,Respiratory Depression
doxazosin,"Benign Prostatic Hyperplasia, Raynaud's Syndrome"
doxepin,"Reflex Sympathetic Dystrophy Syndrome, Insomnia, Urticaria, Pruritus, Lichen Simplex Chronicus, Neuropathic Pain"
doxercalciferol,Secondary Hyperparathyroidism
doxorubicin,"Acute Lymphoblastic Leukemia, Acute Myeloblastic Leukemia, Soft Tissue Sarcoma, Thyroid Cancer, Bladder Cancer, Osteosarcoma, Breast Cancer, Bronchogenic Carcinoma, Cancer, Stomach Cancer, Hodgkin's Lymphoma, Lymphoma, Wilms' Tumor (Nephroblastoma), Ovarian Cancer, Diffuse Large B-Cell Lymphoma, Mantle Cell Lymphoma, Neuroblastoma"
doxorubicin liposomal,"Kaposi's Sarcoma, Ovarian Cancer"
doxycycline,"Acne, Rosacea, Actinomycosis, Urinary Tract Infection, Amebiasis, Anthrax, Anthrax Prophylaxis, Bacterial Infection, Bartonellosis, Bronchiectasis, Bronchitis, Pneumonia, Brucellosis, Plague, Bullous Pemphigoid, Skin or Soft Tissue Infection, Cervicitis, Chancroid, Chlamydia Infection, Nongonococcal Urethritis, Cholera, Lyme Disease, Prostatitis, Cutaneous Bacillus anthracis, Ehrlichiosis, Enterocolitis, Epididymitis, Sexually Transmitted, Gastroenteritis, Gonococcal Infection, Uncomplicated, Granuloma Inguinale, Inclusion Conjunctivitis, Lyme Disease, Arthritis, Lyme Disease, Carditis, Lyme Disease, Erythema Chronicum Migrans, Lyme Disease, Neurologic, Lymphogranuloma Venereum, Malaria, Malaria Prevention (Malaria Prophylaxis), Melioidosis, Mycoplasma Pneumonia, Ocular Rosacea, Ornithosis, Pelvic Inflammatory Disease, Pemphigoid, Pemphigus, Periodontitis, Pleural Effusion, Proctitis, Psittacosis, Q Fever, Rabbit Fever (Tularemia), Upper Respiratory Tract Infection, Rickettsial Infection, STD Prophylaxis, Syphilis, Early, Syphilis, Latent, Tertiary Syphilis, Trachoma"
doxylamine,"Conjunctivitis, Allergic, Allergies, Nausea/Vomiting of Pregnancy, Pain/Fever, Rhinorrhea, Rhinorrhea"
dronabinol,"AIDS Related Wasting, Anorexia, Post Traumatic Stress Disorder, Nausea/Vomiting, Chemotherapy Induced"
dronedarone,"Atrial Fibrillation, Atrial Flutter"
droperidol,"Nausea/Vomiting, Postoperative"
drospirenone,"Menstrual Disorders, Polycystic Ovary Syndrome, Polycystic Ovary Syndrome, Premenstrual Dysphoric Disorder, Premenstrual Dysphoric Disorder"
droxidopa,Hypotension
duloxetine,"Anxiety, Generalized Anxiety Disorder, Osteoarthritis, Back Pain, Chronic Fatigue Syndrome, Urinary Incontinence, Persistent Depressive Disorder, Chronic Pain, Major Depressive Disorder, Depression, Diabetic Peripheral Neuropathy, Fibromyalgia, Hot Flashes, Peripheral Neuropathy, Somatoform Pain Disorder, Small Fiber Neuropathy"
dupilumab,Chronic Rhinosinusitis with Nasal Polyps
durvalumab,Urothelial Carcinoma
dutasteride,"Benign Prostatic Hyperplasia, Benign Prostatic Hyperplasia"
duvelisib,Follicular Lymphoma
dyclonine,Sore Throat
dyphylline,COPD
"ebola zaire vaccine, live",Ebola Zaire Disease Prophylaxis
ecallantide,Hereditary Angioedema
echothiophate iodide,Glaucoma
econazole,"Tinea Pedis, Tinea Corporis, Cutaneous Candidiasis, Tinea Cruris, Paronychia, Tinea Versicolor"
eculizumab,"Hemolytic Uremic Syndrome, Myasthenia Gravis, Neuromyelitis Optica, Paroxysmal Nocturnal Hemoglobinuria"
edaravone,Amyotrophic Lateral Sclerosis
edetate calcium disodium,"Lead Poisoning, Mild, Lead Poisoning, Severe"
edoxaban,"Deep Vein Thrombosis, Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism"
edrophonium,Reversal of Nondepolarizing Muscle Relaxants
efavirenz,"HIV Infection, Nonoccupational Exposure, Occupational Exposure"
efinaconazole,"Onychomycosis, Toenail"
eflornithine,Hirsutism
elapegademase,Adenosine Deaminase Deficiency
elbasvir,Hepatitis C
electrolyte replacement solutions,Heat Stress
electrolytes,Total Parenteral Nutrition
eletriptan,Migraine
eliglustat,Gaucher Disease
elosulfase alfa,Mucopolysaccharidosis Type IV
eltrombopag,"Aplastic Anemia, Idiopathic Thrombocytopenic Purpura, Thrombocytopenia, Thrombocytopenia Idiopathic"
emapalumab,Hemophagocytic Lymphohistiocytosis
emicizumab,Hemophilia A with Inhibitors
emollients,"Dry Skin (Xerosis), Vaginal Dryness"
empagliflozin,Cardiovascular Risk Reduction
emtricitabine,"HIV Infection, HIV Infection, Nonoccupational Exposure, Occupational Exposure, Occupational Exposure, Pre-Exposure Prophylaxis, Pre-Exposure Prophylaxis"
enalapril,"Polycystic Kidney Disease, Alport Syndrome, Diabetic Kidney Disease (Diabetic Nephropathy), High Blood Pressure (Hypertension), Hypertensive Emergency, Left Ventricular Dysfunction"
enasidenib,Acute Myeloid Leukemia
enfortumab vedotin,Urothelial Carcinoma
enoxaparin,"Angina, Acute Coronary Syndrome, Deep Vein Thrombosis, Deep Vein Thrombosis Prophylaxis after Abdominal Surgery, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis, Prophylaxis, Heart Attack (Myocardial Infarction)"
entacapone,"Parkinson's Disease, Parkinson's Disease"
entecavir,Hepatitis B
entrectinib,Solid Tumors
enzalutamide,Prostate Cancer
ephedrine,"Adams-Stokes Syndrome, COPD, Acute, Narcolepsy, Hypotension, Myasthenia Gravis"
epinastine,"Conjunctivitis, Allergic"
epinephrine,"Asthma, acute, Adams-Stokes Syndrome, Allergic Reactions, Anaphylaxis, Asystole, AV Heart Block, Nasal Congestion, Cardiac Arrest, COPD, Acute, Electromechanical Dissociation, Local Anesthesia, Local Anesthesia, Oral Allergy Syndrome, Pupillary Dilation, Shock"
epirubicin,"Breast Cancer, Adjuvant"
epoetin alfa,"Anemia, Anemia Associated with Chronic Renal Failure, Anemia, Drug Induced, Anemia Prior to Surgery, Anemia, Chemotherapy Induced"
epoetin beta-methoxy polyethylene glycol,Anemia Associated with Chronic Renal Failure
epoprostenol,Pulmonary Hypertension
eptifibatide,"Acute Coronary Syndrome, Percutaneous Coronary Intervention"
erdafitinib,"Bladder Cancer, Urothelial Carcinoma"
ergocalciferol,"Familial Hypophosphatemia, Hypocalcemia, Hypoparathyroidism, Hypophosphatemia, Osteomalacia, Renal Osteodystrophy, Rickets, Vitamin D Deficiency, Vitamin/Mineral Supplementation and Deficiency"
ergoloid mesylates,"Alzheimer's Disease, Arteriosclerotic Dementia, Dementia"
ergotamine,Cluster Headaches
eribulin,"Breast Cancer, Metastatic, Liposarcoma"
erlotinib,"Non-Small Cell Lung Cancer, Pancreatic Cancer"
ertapenem,"Infection Prophylaxis, Pelvic Infections"
erythromycin,"Conjunctivitis, Bacterial, Campylobacter Gastroenteritis, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bartonellosis, Bowel Preparation, Bronchitis, Bullous Pemphigoid, Skin or Soft Tissue Infection, Chancroid, Chlamydia Infection, Nongonococcal Urethritis, Lyme Disease, Dental Abscess, Otitis Media, Strep Throat (Streptococcal Pharyngitis), Legionella Pneumonia, Lymphogranuloma Venereum, Mycoplasma Pneumonia, Ocular Rosacea, Pemphigoid, Perioral Dermatitis, Pertussis, Pharyngitis, Upper Respiratory Tract Infection, Rheumatic Fever Prophylaxis, Syphilis, Early"
escitalopram,"Anxiety, Generalized Anxiety Disorder, Body Dysmorphic Disorder, Borderline Personality Disorder, Major Depressive Disorder, Depression, Fibromyalgia, Irritable Bowel Syndrome, Obsessive Compulsive Disorder, Premenstrual Dysphoric Disorder, Somatoform Pain Disorder, Trichotillomania, Vulvodynia"
esmolol,"Atrial Flutter, Intra- or Post-op SVT or Hypertension, Supraventricular Tachycardia"
esomeprazole,"GERD, Barrett's Esophagus, Duodenal Ulcer Prophylaxis, Gastritis/Duodenitis, Erosive Esophagitis, Gastric Ulcer Prophylaxis, Helicobacter Pylori Infection, NSAID-Induced Gastric Ulcer, NSAID-Induced Ulcer Prophylaxis, Pathological Hypersecretory Conditions, Zollinger-Ellison Syndrome"
esterified estrogens,"Breast Cancer, Palliative, Menopausal Disorders, Hot Flashes, Hypoestrogenism, Oophorectomy, Primary Ovarian Failure"
estradiol,"Atrophic Urethritis, Atrophic Urethritis, Atrophic Vaginitis, Osteoporosis, Breast Cancer, Palliative, Prostate Cancer, Menopausal Disorders, Dyspareunia, Gender Dysphoria, Menorrhagia, Hypoestrogenism, Hypoestrogenism, Oophorectomy, Perimenopausal Symptoms, Postmenopausal Symptoms, Postmenopausal Symptoms, Prevention of Osteoporosis, Primary Ovarian Failure"
estropipate,"Hypoestrogenism, Oophorectomy, Postmenopausal Symptoms, Primary Ovarian Failure"
eszopiclone,Insomnia
etanercept,"Still's Disease, Alzheimer's Disease, Ankylosing Spondylitis, Behcet's Disease, Cogan's Syndrome, Granulomatosis with Polyangiitis, Histiocytosis, Juvenile Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Macrophage Activation Syndrome, Plaque Psoriasis, Psoriatic Arthritis, SAPHO Syndrome, Spondyloarthritis"
etelcalcetide,Hyperparathyroidism Secondary to Renal Impairment
eteplirsen,Duchenne Muscular Dystrophy
ethacrynic acid,"Ascites, Renal Failure, Nonobstructive Oliguria, Pulmonary Edema"
ethambutol,"Mycobacterium avium-intracellulare, Prophylaxis, Mycobacterium avium-intracellulare, Treatment, Tuberculosis, Active"
ethanolamine oleate,Esophageal Varices
ethinyl estradiol,"Abnormal Uterine Bleeding, Abnormal Uterine Bleeding, Abnormal Uterine Bleeding, Abnormal Uterine Bleeding, Birth Control (Contraception), Birth Control (Contraception), Birth Control (Contraception), Breast Cancer, Palliative, Emergency Contraception (Postcoital Contraception), Emergency Contraception (Postcoital Contraception), Endometriosis, Endometriosis, Endometriosis, Ovarian Cysts, Ovarian Cysts, Gonadotropin Inhibition, Gonadotropin Inhibition, Gonadotropin Inhibition, Gonadotropin Inhibition, Hypoestrogenism, Menstrual Disorders, Menstrual Disorders, Oophorectomy, Polycystic Ovary Syndrome, Polycystic Ovary Syndrome, Polycystic Ovary Syndrome, Polycystic Ovary Syndrome, Polycystic Ovary Syndrome, Premenstrual Dysphoric Disorder, Premenstrual Dysphoric Disorder, Premenstrual Syndrome, Postmenopausal Symptoms, Prevention of Osteoporosis, Primary Ovarian Failure"
etidronate,"Heterotopic Ossification, Spinal Cord Injury, Heterotopic Ossification, Total Hip Arthroplasty, Hypercalcemia of Malignancy, Paget's Disease"
etodolac,"Osteoarthritis, Juvenile Rheumatoid Arthritis"
etomidate,Anesthesia
etoposide,"Cancer, Hodgkin's Lymphoma, Small Cell Lung Cancer, Testicular Cancer"
everolimus,"Renal Cell Carcinoma, Renal Angiomyolipoma, Brain Tumor, Breast Cancer, Pancreatic Cancer, Neuroendocrine Carcinoma, Organ Transplant, Rejection Prophylaxis, Subependymal Giant Cell Astrocytoma, Tuberous Sclerosis"
evolocumab,"Cardiovascular Risk Reduction, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous"
exemestane,Breast Cancer
ezetimibe,"High Cholesterol, High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Sitosterolemia"
factor XIII,Factor XIII Deficiency
factor ix complex,"Factor IX Deficiency, Factor VII Deficiency, Hemophilia A with Inhibitors, Hemophilia B"
famciclovir,"Cold Sores (Herpes Simplex Labialis), Herpes Simplex, Mucocutaneous/Immunocompetent Host, Herpes Simplex, Mucocutaneous/Immunocompromised Host, Herpes Simplex, Suppression, Herpes Zoster"
famotidine,"GERD, Allergic Urticaria, Cutaneous Mastocytosis, Duodenal Ulcer, Duodenal Ulcer Prophylaxis, Indigestion, Erosive Esophagitis, Laryngopharyngeal Reflux, Stomach Ulcer (Gastric Ulcer), Hiatal Hernia, Urticaria, NSAID-Induced Ulcer Prophylaxis, Pathological Hypersecretory Conditions, Peptic Ulcer, Upper GI Hemorrhage, Zollinger-Ellison Syndrome"
fat emulsion,Total Parenteral Nutrition
febuxostat,Gout
fedratinib,Myelofibrosis
felbamate,Lennox-Gastaut Syndrome
felodipine,Raynaud's Syndrome
fenofibrate,"Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL, Hypertriglyceridemia, Hyperlipoproteinemia"
fenofibric acid,"High Cholesterol, Hypertriglyceridemia"
fenoldopam,"Hypertensive Emergency, Prevention of Radiographic Contrast Nephropathy"
fentanyl,"Dercum's Disease, Anesthesia, Anesthetic Adjunct, Breakthrough Pain, Chronic Pain, Postoperative Pain, Sedation"
ferric citrate,Hyperphosphatemia of Renal Failure
ferrous fumarate,"Anemia Associated with Chronic Renal Failure, Anemia Associated with Iron Deficiency, Iron Deficiency Anemia, Vitamin/Mineral Supplementation during Pregnancy/Lactation"
ferrous gluconate,"Anemia Associated with Chronic Renal Failure, Iron Deficiency Anemia, Vitamin/Mineral Supplementation during Pregnancy/Lactation"
ferrous sulfate,"Anemia Associated with Chronic Renal Failure, Iron Deficiency Anemia, Vitamin/Mineral Supplementation and Deficiency, Vitamin/Mineral Supplementation during Pregnancy/Lactation"
ferumoxytol,Iron Deficiency Anemia
fesoterodine,"Urinary Incontinence, Urinary Frequency"
fexofenadine,"Allergic Rhinitis, Urticaria, Physical Urticaria"
fibrin sealant,"Closure of Colostomy, Hemostasis"
fibrinogen,Congenital Fibrinogen Deficiency
fidaxomicin,Clostridioides difficile Infection
filgrastim,"Neutropenia, Aplastic Anemia, Bone Marrow Transplantation, Myelodysplastic Syndrome, Neutropenia Associated with AIDS or Zidovudine, Neutropenia Associated with Chemotherapy, Neutropenia Associated with Radiation, Peripheral Progenitor Cell Transplantation, Sepsis"
finasteride,"Androgenetic Alopecia, Benign Prostatic Hyperplasia"
fingolimod,Multiple Sclerosis
flavoxate,"Urinary Frequency, Dysuria"
flecainide,"Atrial Fibrillation, Atrial Flutter, Paroxysmal Supraventricular Tachycardia, Supraventricular Tachycardia, Ventricular Tachycardia, Wolff-Parkinson-White Syndrome"
flibanserin,Hypoactive Sexual Desire Disorder
florbetaben f-18,Positron Emission Tomography Imaging
florbetapir F 18,Positron Emission Tomography Imaging
floxuridine,Liver Metastasis in Adenocarcinoma
fluciclovine F 18,Positron Emission Tomography Imaging
fluconazole,"Blastomycosis, Tinea Corporis, Bone Marrow Transplantation, Esophageal Candidiasis, Candida Urinary Tract Infection, Candidemia, Oral Thrush, Vaginal Yeast Infection, Chronic Mucocutaneous Candidiasis, Coccidioidomycosis, Coccidioidomycosis, Meningitis, Cryptococcal Meningitis, Immunocompetent Host, Cryptococcal Meningitis, Immunosuppressed Host, Cryptococcosis, Fungal Infections, Fungal Infection Prevention, Fungal Infection Prophylaxis, Onychomycosis, Fingernail, Tinea Cruris, Fungal Infection, Internal and Disseminated, Onychomycosis, Toenail, Fungal Peritonitis, Fungal Pneumonia, Histoplasmosis, Tinea Versicolor, Sporotrichosis, Systemic Candidiasis"
flucytosine,"Candida Urinary Tract Infection, Candidemia, Cryptococcal Meningitis, Immunocompetent Host, Cryptococcal Meningitis, Immunosuppressed Host, Cryptococcosis, Fungal Endocarditis, Systemic Fungal Infection"
fludarabine,"Cancer, Chronic Lymphocytic Leukemia, Chronic Myelogenous Leukemia, Leukemia, Non-Hodgkin's Lymphoma, Stem Cell Transplant Conditioning"
fludrocortisone,"Addison's Disease, Adrenogenital Syndrome, Postural Orthostatic Tachycardia Syndrome, Dysautonomia"
flumazenil,"Benzodiazepine Overdose, Reversal of Sedation"
flunisolide,Asthma
fluocinolone,"Atopic Dermatitis, Eczema, Bacterial Skin Infection, Dermatitis, Diabetic Macular Edema, Lichen Sclerosus, Macular Edema, Melasma, Seborrheic Dermatitis"
fluocinonide,"Atopic Dermatitis, Eczema, Dermatitis, Psoriasis, Granuloma Annulare, Lichen Planus"
fluoride,Prevention of Dental Caries
fluorometholone,"Eye Redness, Eye Redness/Itching, Eyelash Hypotrichosis, Steroid Responsive Inflammatory Conditions"
fluorouracil,"Actinic Keratosis, Anal Cancer, Basal Cell Carcinoma, Breast Cancer, Palliative, Cancer, Cervical Cancer, Colorectal Cancer, Stomach Cancer, Pancreatic Cancer, Skin Cancer, Warts, Keratosis"
fluoxetine,"Anxiety and Stress, Agoraphobia, Body Dysmorphic Disorder, Binge Eating Disorder, Borderline Personality Disorder, Bulimia, Persistent Depressive Disorder, Major Depressive Disorder, Depression, Postpartum Depression, Excoriation Disorder, Dissociative Identity Disorder, Dysautonomia, Fibromyalgia, Hot Flashes, Intermittent Explosive Disorder, Obsessive Compulsive Disorder, PANDAS Syndrome, Panic Disorder, Premenstrual Dysphoric Disorder, Premature Ejaculation, Somatoform Pain Disorder, Schizoaffective Disorder, Trichotillomania, Vulvodynia"
fluoxymesterone,"Breast Cancer, Palliative, Delayed Puberty, Male"
fluphenazine,Psychosis
flurazepam,Insomnia
flurbiprofen,Inhibition of Intraoperative Miosis
flutamide,"Prostate Cancer, Hirsutism"
flutemetamol f-18,Positron Emission Tomography Imaging
fluticasone,"Atopic Dermatitis, Allergic Rhinitis, Asthma, Asthma, Maintenance, Asthma, Maintenance, COPD, COPD, Bronchopulmonary Dysplasia, COPD, Maintenance, Dermatitis, Dermatologic Lesion, Eosinophilic Esophagitis, Lichen Sclerosus, Nasal Polyps, Rhinitis"
fluvastatin,"Dyslipidemia, High Cholesterol, Familial Heterozygous, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL"
fluvoxamine,"Anxiety and Stress, Anorexia/Feeding Problems, Body Dysmorphic Disorder, Post Traumatic Stress Disorder, Persistent Depressive Disorder, Obsessive Compulsive Disorder, Social Anxiety Disorder, Somatoform Pain Disorder, Trichotillomania"
folic acid,"Anemia Associated with Iron Deficiency, Anemia, Megaloblastic, Folic Acid Deficiency, Nausea/Vomiting of Pregnancy, Vitamin/Mineral Supplementation and Deficiency"
follicle stimulating hormone,"Follicle Stimulation, Hypogonadism, Male, Ovulation Induction"
fomepizole,"Ethylene Glycol Poisoning, Methanol Poisoning"
fondaparinux,"Deep Vein Thrombosis, Deep Vein Thrombosis Prophylaxis after Abdominal Surgery, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis, Prophylaxis, Pulmonary Embolism"
formaldehyde,Medical Procedures
formoterol,"Asthma, Asthma, Maintenance, COPD, Bronchospasm Prophylaxis, COPD, Maintenance"
foscarnet,"Varicella-Zoster, CMV Gastroenteritis, CMV Retinitis, Herpes Simplex, Mucocutaneous/Immunocompromised Host"
fosfomycin,"Bladder Infection, Transurethral Prostatectomy"
fosinopril,"Alport Syndrome, Diabetic Kidney Disease (Diabetic Nephropathy), Left Ventricular Dysfunction"
fosphenytoin,Status Epilepticus
fulvestrant,"Breast Cancer, Metastatic"
furosemide,"Edema, Ascites, Heart Failure (Congestive Heart Failure), Renal Failure, High Blood Pressure (Hypertension), Hypercalcemia, Nonobstructive Oliguria, Oliguria, Pulmonary Edema, Renal Transplant"
gabapentin,"Erythromelalgia, Alcohol Withdrawal, Anxiety, Occipital Neuralgia, Migraine, Benign Essential Tremor, Bipolar Disorder, Burning Mouth Syndrome (Glossopyrosis), Carpal Tunnel Syndrome, Reflex Sympathetic Dystrophy Syndrome, Cluster-Tic Syndrome, Diabetic Peripheral Neuropathy, Insomnia, Restless Legs Syndrome, Epilepsy, Hyperhidrosis, Fibromyalgia, Hiccups, Hot Flashes, Pruritus, Lhermitte's Sign, Nausea/Vomiting, Chemotherapy Induced, Neuropathic Pain, Peripheral Neuropathy, Periodic Limb Movement Disorder, Pain, Postherpetic Neuralgia, Postmenopausal Symptoms, Pudendal Neuralgia, Small Fiber Neuropathy, Spondylolisthesis, Syringomyelia, Trigeminal Neuralgia, Transverse Myelitis, Vulvodynia"
gabapentin enacarbil,"Alcoholism, Restless Legs Syndrome, Postherpetic Neuralgia"
gadobenate dimeglumine,"Magnetic Resonance Angiography, CNS Magnetic Resonance Imaging"
gadobutrol,"CNS Magnetic Resonance Imaging, Vascular Magnetic Resonance Imaging"
gadodiamide,"CNS Magnetic Resonance Imaging, Vascular Magnetic Resonance Imaging"
gadopentetate dimeglumine,"CNS Magnetic Resonance Imaging, Vascular Magnetic Resonance Imaging"
gadoterate meglumine,CNS Magnetic Resonance Imaging
gadoteridol,CNS Magnetic Resonance Imaging
gadoxetate disodium,Liver Magnetic Resonance Imaging
galantamine,Alzheimer's Disease
gallium ga 68 dotatate,Positron Emission Tomography Imaging
gallium ga-68 dotatoc,Positron Emission Tomography Imaging
galsulfase,Mucopolysaccharidosis Type VI
ganciclovir,"CMV Infection, CMV Prophylaxis, CMV Retinitis, Herpes Simplex Dendritic Keratitis"
ganirelix,Gonadotropin Inhibition
gatifloxacin,"Conjunctivitis, Ophthalmic Surgery"
gefitinib,Non-Small Cell Lung Cancer
gemcitabine,"Ovarian Cancer, Pancreatic Cancer"
gemfibrozil,"High Cholesterol, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL, Hyperlipoproteinemia"
gemifloxacin,Strep Throat (Streptococcal Pharyngitis)
gemtuzumab,Acute Myeloid Leukemia
genistein,Osteopenia
gentamicin,"Bacteremia, Conjunctivitis, Bacterial, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Blepharitis, Bone infection (Osteomyelitis), Brucellosis, Plague, Burns, External, Skin and Structure Infection, Cystic Fibrosis, Endocarditis, Endometritis, Febrile Neutropenia, Intraabdominal Infection, Keratoconjunctivitis, Meningitis, Paronychia, Peritonitis, Rabbit Fever (Tularemia), Surgical Prophylaxis"
gentian violet,"Oral Thrush, Fungal Infection Prophylaxis"
gilteritinib,Acute Myeloid Leukemia
ginger,Nausea/Vomiting of Pregnancy
givosiran,Porphyria
glasdegib,Acute Myeloid Leukemia
glatiramer,Multiple Sclerosis
glecaprevir,Hepatitis C
glimepiride,"Diabetes, Type 2"
glipizide,"Diabetes, Type 2"
glucagon,"Diagnosis and Investigation, Hypoglycemia"
glucarpidase,Methotrexate Overdosage
glucosamine,"Osteoarthritis, Dietary Supplementation"
glutamine,"Anemia, Sickle Cell, Short Bowel Syndrome"
glycerin,Xerostomia
glycerol phenylbutyrate,Urea Cycle Disorders
glycopyrrolate,"Anesthesia, Excessive Salivation, Peptic Ulcer"
glycopyrronium,Hyperhidrosis
golimumab,Spondyloarthritis
golodirsen,Duchenne Muscular Dystrophy
goserelin,"Bleeding Disorder, Breast Cancer, Palliative, Prostate Cancer"
granisetron,"Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative, Nausea/Vomiting, Radiation Induced"
grazoprevir,Hepatitis C
griseofulvin,"Tinea Pedis, Tinea Barbae, Tinea Corporis, Dermatophytosis, Onychomycosis, Fingernail, Tinea Cruris, Tinea Capitis, Onychomycosis, Toenail"
guaifenesin,"Bronchiectasis, Bronchitis, Cough, Cough, Cough, Cough and Nasal Congestion, Cough and Nasal Congestion, Cough and Nasal Congestion, Expectoration (Mucolysis), Fibromyalgia, Influenza, Sinus Symptoms"
guanfacine,"ADHD (Attention Deficit Hyperactivity Disorder), Tourette's Syndrome"
guanidine,Neurological Disorders
haemophilus b conjugate,"Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis"
haemophilus b conjugate (prp-omp) vaccine,Haemophilus influenzae Prophylaxis
haemophilus b conjugate (prp-t) vaccine,"Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Haemophilus influenzae Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis"
halobetasol,"Eczema, Granuloma Annulare"
haloperidol,"Aggressive Behavior, Borderline Personality Disorder, Dementia, Mania, ICU Agitation, Psychosis, Tourette's Syndrome"
hemin,Porphyria
heparin,"Anticoagulation During Pregnancy, Antiphospholipid Syndrome, Deep Vein Thrombosis, Thrombotic/Thromboembolic Disorder, Deep Vein Thrombosis, Prophylaxis, Pulmonary Embolism"
heparin flush,Patency Maintenance of Indwelling Intravenous Devices
hepatitis a adult vaccine,"Hepatitis A Prophylaxis, Hepatitis A Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis)"
hepatitis a pediatric vaccine,Hepatitis A Prophylaxis
hepatitis b adult vaccine,"Hepatitis A Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Hepatitis B Prevention (Hepatitis B Prophylaxis)"
hepatitis b immune globulin,Exposure to Hepatitis B Virus
hepatitis b pediatric vaccine,"Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis"
hepatitis b vaccine,"Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis"
hetastarch,"Blood Disorders, Hypovolemia"
histrelin,Precocious Puberty
homatropine,"Cough, Refraction, Assessment, Uveitis"
human papillomavirus vaccine,Human Papillomavirus Prophylaxis
hyaluronidase,"Diffuse Large B-Cell Lymphoma, Extravasation, Follicular Lymphoma, Hypodermoclysis, Primary Immunodeficiency Syndrome, Subcutaneous Urography"
hydralazine,"Heart Failure (Congestive Heart Failure), Hypertensive Emergency"
hydrochlorothiazide,"Edema, Edema, Edema, Ascites, Osteoporosis, Diabetes Insipidus, Nephrotic Syndrome, High Blood Pressure (Hypertension), High Blood Pressure (Hypertension), Nephrocalcinosis"
hydrocodone,"Rheumatoid Arthritis, Back Pain, Cough, Cough, Cough, Cough and Nasal Congestion, Pain, Pain"
